? s?,Tàn c?i,Sort desc,Image,Desc,S? ngÖy ? ?Éy,K?t qu? x£c s?c 1,K?t qu? x£c s?c 2,K?t qu? x£c s?c 3,K?t qu? x£c s?c 4,K?t qu? x£c s?c 5,K?t qu? x£c s?c 6
1,Kim Cang ??a Ng?c,"C?i Th?ng Kh? Cho 
K? Ph?n B?i M?t Th?a",Realm_01.jpg,"??c T°nh H?y Di?t
C?u tr£c: Hai chÖy kim cang (Vajra) chÇo nhau kh¢a l?i tho†t ? ""Khìng th? ph† v? b?ng th?n thìng hay h?i c?i.""
Hçnh ph?t:
Khìng ?au ??n th? x†c, mÖ lÖ n?i kinh hoÖng tÉm linh ? †m ?nh b?i qu? th?n h? ph†p (Dharmap?la) nh? Mah?k?la, Vajrabhairava.
""T? mçnh nhçn th?y nghi?p l?c bi?n thÖnh qu? s? ? khìng ai c?u ???c ngoÖi ch°nh mçnh.""
Nguyàn NhÉn ??a L?c
Theo l?i ??c Milarepa:
Ph† h?y gi?i lu?t M?t th?a (Samaya).
L?i d?ng ph†p tu vç tham v?ng c† nhÉn.
LÖm t?n th??ng thÉn-kh?u-? c?a hÖnh gi? Kim Cang th?a.
ChÖ ??p ??i Bi TÉm ? bi?n th?n ch£ thÖnh cìng c? h?i ng??i.
""Dó bay làn tr?i cao,
R?i c?ng r?i vÖo Vajra Hell ?
N?i nh?ng k? ph?n b?i ch°nh l?i th? gi†c ng? c?a mçnh.""
C†ch Tho†t Kh?i
Ph??ng ph†p duy nh?t:
ThÖnh tÉm s†m h?i v?i B?n tìn (Yidam), t†i th? gi?i Kim Cang.
Qu†n t??ng ch°nh c†c hçnh t??ng hung n? lÖ h¢a thÉn c?a Tr° Tu?.
CÉu ch£ gi?i nghi?p: ""O? VAJRA KRODHA MAH?BALA H?? PHAT!""
BÖi H?c M?t Th?a
""Gi?i lu?t M?t tìng lÖ c†nh c?a thÇp ? v??t qua thç thÖnh Ph?t, vi ph?m thç ?o? ??a ng?c.""
L?i c?nh b†o c?a Padmasambhava:
""??ng ?? th?n ch£ tràn mìi n?u tÉm cïn ??c t? ?
M?t ph†p nh? dao hai l??i,
K? ngu t? c?t ??t m?ch gi?i tho†t.""",30,9,9,9,9,9,9
2,"Vì Gi†n ??a Ng?c
",Kh? ?au Khìng ng?ng Ngh?,Realm_02.jpg,"Mì T? H?i Hóng
Khìng gian:
Thiàn niàn r?i ng??c xu?ng m?i t?i ?†y ? lï l?a s?t nung ?? r?c, c?a m?/?¢ng ng?u nhiàn ?? t?ng tuy?t v?ng.
""N?n nhÉn b? n?u trong v?c ??ng sìi, ??u ch£c xu?ng nh? h?t g?o trong n?i ch†o.""
Th?i gian:
M?t ki?p = 1.28 t? n?m (theo th?i gian ??a ng?c) ? nh?ng c?m gi†c nh? vì t?n.
Nguyàn NhÉn ??a L?c
Nh?ng nghi?p c?c tr?ng ??a ??n Av?ci:
1. Ng? ngh?ch ??i t?i:
2. Gi?t cha, gi?t m?.
3. Gi?t A-la-h†n.
4. LÖm thÉn Ph?t ch?y m†u.
5. Ph† hïa h?p T?ng.
6. T?i di?t Ph†p:
7. ??t kinh, ph† chóa.
8. B?c h?i T?ng Ni.
9. ??i †c x? h?i:
10. ??u ??c ngu?n n??c c? n??c.
11. H?y ho?i mìi sinh tràn quy mì l?n.
12. ""Ph† ho?i c? h?i gi†c ng? c?a ng??i kh†c ? t?i †c cïn ghà t?m h?n h?y di?t s? s?ng.""
Hçnh Ph?t ??c Bi?t
So s†nh v?i c†c ??a ng?c kh†c:
??a Ng?c ??c ?i?m
??a ng?c n¢ng (No. 3) ?au th? x†c, c¢ l£c ngh?
Ng? qu? (No. 10) ?¢i kh†t tri?n miàn
Av?ci Th? x†c + tinh th?n ?au ??n liàn t?c
?n d? sÉu xa:
""ThÉn tÉm k? ph?m t?i tr? thÖnh nhÖ tó c?a ch°nh h? ? ng?n l?a vì minh thiàu r?i m?i c? h?i gi?i tho†t.""
 BÖi H?c Nghi?p B†o
""Av?ci khìng ph?i hçnh ph?t ? mÖ lÖ h? qu? t?t y?u c?a tÉm ??c †c khìng biàn gi?i.""

L?i c?nh t?nh t? kinh ??a T?ng:
""Dó t?i n?ng m?y c?ng c¢ th? s†m h?i ?
Nh?ng m?t khi ?? r?i vÖo Vì Gi†n,
Ch? cïn bi?t trìng ch? cìng ??c ng??i thÉn h?i h??ng.""",15,17,10,3,3,3,3
3,"??a Ng?c N¢ng & C?c N¢ng
","Nh?ng Lï Thiàu Nghi?p B†o
",Realm_01.jpg,"??c ?i?m Hçnh Ph?t
a. ??a Ng?c N¢ng (Hot Hell)
Nguyàn nhÉn:
1. T?i †c liàn quan ??n l?a (??t r?ng, thiàu s?ng sinh v?t).
2. S†t sinh b?ng c†ch gÉy b?ng, tra t?n b?ng nhi?t.
Hçnh ph?t ?i?n hçnh:
??ng n¢ng ch?y ?? vÖo mi?ng ? thiàu r?i n?i t?ng.
Gai nh?n ?Ém xuyàn h?u mìn làn ??nh ??u.
b. ??a Ng?c C?c N¢ng (Very Hot Hell)
Nguyàn nhÉn:
1. Ph† ho?i tu t?p tÉm linh:
2. C??ng hi?p ni cì/Ph?t t?.
3. D? d? tu s? ph† gi?i.
4. Truy?n b† tÖ thuy?t ph? nh?n nhÉn qu?.
5. L?a ??o (th?y lang b?m, gi†o ph†i gi?).
Hçnh ph?t kinh hoÖng:
Qu? m?t l?a, r?ng c?a kÇo n?n nhÉn vÖo h? s?t n¢ng ??y gai.
So S†nh C†c T?ng ??a Ng?c
Lo?i ??a Ng?c     ??c ?i?m                 Th?i Gian Ch?u Kh?
N¢ng (3)      ?au ??n th? x†c d? d?i          1.000 n?m
C?c N¢ng    Th? x†c + tinh th?n b? thiàu ??t 10.000 n?m
Vì Gi†n (2) Kh? khìng ng?ng ngh? 1 ki?p (1.28 t? n?m)
BÖi H?c NhÉn Qu?
""L?a ??a ng?c ch°nh lÖ l?a tham-sÉn t?ng giÉy ph£t trong tÉm ta.""
Kinh Ph†p C£ (CÉu 136):
""K? ngu gÉy nghi?p †c
T? n?u mçnh trong lï ?
Nh? ve b? l?a ??t
Vç mà ?u?i †nh s†ng.""",10,11,10,8,7,5,2
4,"??a Ng?c Kàu GÖo & 
??i Kàu GÖo
",Ti?ng kàu th?m thi?t ko ng?ng ngh?,Realm_02.jpg,"Nguyàn NhÉn ??a L?c

Hai ??a ng?c nÖy tr?ng ph?t nh?ng t?i l?m d?ng kh?u nghi?p (l?i n¢i vÖ mi?ng l??i):
??a ng?c Kàu GÖo:
- T?i u?ng r??u say d?n ??n ph† gi?i (s†t sinh, tr?m c?p, tÖ dÉm).
- Buìn b†n r??u vç l?i nhu?n ho?c dóng r??u thao t£ng ng??i kh†c.
??a ng?c ??i Kàu GÖo:
- N¢i d?i (v?ng ng?), n¢i l?i †c ??c (†c kh?u), vu kh?ng (? ng?).
- HÖnh vi tham nh?ng: H?i l?, b? cong cìng l?, l?a ??o.

Hçnh Ph?t
??a ng?c Kàu GÖo:
- Qu? s? ?? ??ng n¢ng ch?y vÖo mi?ng, thiàu r?t n?i t?ng.
- N?n nhÉn gÖo thÇt vç ?au ??n (tàn ??a ng?c b?t ngu?n t? Ém thanh nÖy).
??a ng?c ??i Kàu GÖo:
- L??i b? kÇo dÖi vì t?n, qu? s? ?Öo r?nh tràn l??i, ?? ??ng n¢ng + th? sÉu b? ?n l??i.
- ??c bi?t dÖnh cho k? n¢i d?i khi tranh c?i ho?c ph† ho?i ni?m tin.
BÖi H?c ??o ??c
R??u & Ch†nh Ni?m:
Ph?t gi†o khìng c?m r??u tuy?t ??i, nh?ng say x?n d?n ??n ph† gi?i lÖ nghi?p n?ng.
Kinh D??c S? c?nh b†o: ""K? b†n r??u ph† gia mìn, ??a ??a ng?c mi?ng sìi ??ng.""
L?i N¢i ChÉn Th?t:
?c ng? gÉy t?n th??ng sÉu s?c h?n v? kh° ? nghi?p b†o kÇo dÖi qua nhi?u ki?p.
Kinh Ph†p C£: ""L??i khìng x??ng mÖ ??p tan c? ??i ng??i.""

5. Tho†t Kh?i ??a Ng?c
Ph??ng ph†p s†m h?i:
Trç t?ng ch£ ??i Bi ho?c ni?m Ph?t A Di ?Ö ?? chuy?n nghi?p.
Ph¢ng sinh, b? th° ?? cÉn b?ng †c kh?u.
Liàn h? T?nh ??:
Ng??i ni?m Ph?t dó ?? t?o kh?u nghi?p n?ng, n?u ch° thÖnh h?i h??ng, v?n c¢ th? v?ng sinh (theo Qu†n Vì L??ng Th? Kinh).
Fun fact: Trong ngh? thu?t TÉy T?ng, 2 ??a ng?c nÖy th??ng ???c v? v?i qu? s? m?t l?a vÖ n?n nhÉn mi?ng ch?y ??ng n¢ng, mÖu ?? r?c chi?m 80% ì tranh ? bi?u t??ng c?a s?c h?y di?t t? l?i n¢i.",8,13,10,8,6,5,3
5,??a Ng?c Nghi?n êp ,Nghi?n Çp khìng ng?ng ngh?,Realm_01.jpg,"Nguyàn NhÉn ??a L?c

Hai ??a ng?c nÖy tr?ng ph?t nh?ng t?i tr?m c?p vÖ tÖ dÉm k?t h?p v?i s†t sinh ? ??u xu?t ph†t t? tÉm sÉn h?n vÖ †c ?.

??a Ng?c Th?t ?en:
- DÖnh cho k? tr?m c?p, chi?m ?o?t tÖi s?n ng??i kh†c.
- ??c bi?t nghiàm tr?ng n?u ?i käm b?o l?c ho?c gi?t h?i (v° d?: c??p c?a gi?t ng??i).
??a Ng?c Nghi?n êp:
- DÖnh cho k? l?m d?ng tçnh d?c, hi?p dÉm, ho?c dÉm d?c gÉy h?i ??n m?ng s?ng.
- ??c bi?t nh?n m?nh s? dÖy vï tÉm l? do tham †i vÖ ?o gi†c gÉy ra.

Hçnh Ph?t
??a Ng?c Th?t ?en
- N?n nhÉn b? qu? s? tr¢i b?ng dÉy th?ng ?en nh? than, sau ?¢ b? c?a b?ng l??i c?a l?a ho?c ch?t b?ng rçu n¢ng theo c†c v?t ?†nh d?u tràn c? th?.
- Bi?u t??ng: S? ""c?t xÇn"" c?a lïng tham ? cÖng chi?m ?o?t, cÖng b? xÇ n†t.
??a Ng?c Nghi?n êp:
- êp gi?a hai n£i s?t: C? th? b? nghi?n n†t, ch?t ?i s?ng l?i v?nh vi?n.
R?ng l† bÇn: N?n nhÉn th?y b¢ng hçnh ng??i tçnh tràn ng?n cÉy, leo làn thç b? l† nh?n c?a n†t th?t da.
- Khi làn t?i ??nh, ?o ?nh l?i xu?t hi?n d??i g?c ? l† cÉy ??o ng??c h??ng ?? ti?p t?c hÖnh h? tràn ???ng xu?ng.

?n d?: S? tr?ng ph?t c?a d?c v?ng vì t?n ? cÖng ?u?i theo, cÖng ?au ??n.
BÖi H?c ??o ??c
Tr?m c?p & Lïng tham:

Kinh Ph†p C£: ""K? tham lam nh? l?a, cÖng ch†y cÖng thiàu r?i ch°nh mçnh.""

Ph?t gi†o nh?n m?nh b? th° ?? chuy?n h¢a nghi?p tham.

TÖ dÉm & ?i d?c:

D?c v?ng khìng tçnh yàu lÖ g?c c?a kh? ?au ? nh? cÉu chuy?n ng??i leo cÉy trong ??a ng?c.

Kinh T? Th?p Nh? Ch??ng: ""Ng??i †i d?c nh? c?m ?u?c ?i ng??c gi¢, ?t b? b?ng tay.""

5. C†ch Tho†t Nghi?p
S†m h?i:

??i v?i tr?m c?p: HoÖn tr? tÖi s?n, ph¢ng sinh, ?ng h? ng??i nghäo.

??i v?i tÖ dÉm: Tu t?p qu†n b?t t?nh, ni?m Ph?t ?? t?nh h¢a tÉm.

Liàn h? T?nh ??:

Dó ?? t?o nghi?p n?ng, n?u thÖnh tÉm ni?m ""Nam mì A Di ?Ö Ph?t"", v?n c¢ c? h?i v?ng sinh (theo Kinh Vì L??ng Th?).

Hçnh ?nh ngh? thu?t: Trong tranh TÉy T?ng, 2 ??a ng?c nÖy th??ng ???c v? v?i:

DÉy th?ng ?en cu?n quanh thÉn (Black Rope Hell).

N£i s?t Çp m†u ch?y thÖnh sìng (Crushing Hell).",7,13,11,10,7,4,3
6,"??a Ng?c Ph?c Sinh 
",N?i K? S†t Sinh Ch?u Kh?,Realm_02.jpg,"Nguyàn NhÉn ??a L?c

?Éy lÖ ??a ng?c n¢ng ??u tiàn trong 8 t?ng ??a ng?c, dÖnh cho nh?ng k?:

C? ? s†t sinh (gi?t ng??i, ??ng v?t).

GÉy chi?n tranh, tÖn s†t t?p th?.

H?y ho?i mìi tr??ng s?ng (c?t ??t ngu?n n??c/th?c ?n c?a ch£ng sinh).

S?n b?n, gi?t h?i vì t?i v? (nh? th? s?n gi?t h??u, chim).

Hçnh Ph?t

Chu k? gi?t h?i khìng d?t:

N?n nhÉn b? tr¢i thÖnh chu?i, liàn t?c gi?t l?n nhau ? ch?t ? ???c gi¢ l?nh ph?c sinh ? l?p l?i v?nh vi?n.

?n d?: Nghi?p s†t sinh t?o ra vïng b†o ?ng khìng l?i tho†t.

""Khu v?c phÉn th?i"":

Th? s?n ph?i ?n phÉn ??y giun kim c??ng (m? giun c?ng nh? kim c??ng), b? ch£ng ??c ru?t t? bàn trong.

Liàn h?: Hçnh ?nh ph?n chi?u vi?c ??ng v?t b? moi ru?t khi s?n b?n.
BÖi H?c ??o ??c
Kinh Ph†p C£ 129-130:

""M?i ch£ng sinh run r?y tr??c g?y g?c,
T?t c? ??u s? ch?t.
L?y mçnh suy ra ng??i,
??ng gi?t, ??ng b?o gi?t.""

Nghi?p chi?n tranh:

Ng??i gÉy chi?n dó vç ""l? t??ng"" v?n mang nghi?p s†t t?p th?.

5. C†ch Chuy?n H¢a Nghi?p S†t
Ph¢ng sinh: C?u m?ng v?t s?p b? gi?t.

?n chay: Gi?m nhu c?u gi?t m?.

Trç ch£ ??i Bi: Gi?i tr? o†n k?t.

Ni?m Ph?t A Di ?Ö: Nh? Ph?t l?c tiàu tr? nghi?p ch??ng.

T°ch Ph?t gi†o: Vua A D?c sau chi?n tranh Kalinga ?? xÉy b?nh vi?n cho ng??i vÖ th£ ?? s†m h?i.",6,17,12,10,8,5,4
7,"B†t HÖn ??a Ng?c
", C?c L?nh C?t Da XÇ Th?t,Realm_01.jpg,"Nguyàn NhÉn ??a L?c

Kh†c v?i ??a ng?c n¢ng (do sÉn h?n b?c ph†t), 8 t?ng ??a ng?c l?nh nÖy tr?ng ph?t:
T?i ph† ho?i Ch†nh ph†p (ch?ng Ph?t, ph† T?ng, h?y kinh ?i?n).
Lïng sÉn h?n ng?m ng?m, thó ghÇt kÇo dÖi khìng buìng b?.
TÖn nh?n v?i ch£ng sinh (b? ?¢i, ph?i l?nh ng??i/??ng v?t).

T†m T?ng ??a Ng?c L?nh & Hçnh Ph?t

M?i t?ng c¢ tàn g?i mì t? m?c ?? ?¢ng b?ng c?a c? th?:

Tàn ??a Ng?c ??c ?i?m Hçnh Ph?t
1. Arbuda Da n?i bong b¢ng n??c to b?ng tr†i b?u, v? ra gÉy ?au ??n.
2. Nirarbuda Bong b¢ng v? tan, th?t n?t n? nh? ??t khì.
3. Atata R?ng ??p vÖo nhau liàn t?c (ti?ng ""c?ch c?ch""), hÖm r?ng v? v?n.
4. Hahava Mi?ng ?ìng c?ng, ch? ph†t ra ti?ng ràn ""ha...ha..."" (khìng th? kàu thÖnh l?i).
5. Huhuva C? th? ?ìng ?† hoÖn toÖn, khìng ph†t ra Ém thanh.
6. Utpala Da xanh t°m nh? hoa sen xanh, n?t thÖnh 6 m?nh nh? c†nh hoa.
7. Padma Th?t ?? ?ng nh? sen h?ng, n?t thÖnh 10 m?nh.
8. Mahapadma C? th? v? v?n nh? sen ngÖn c†nh, tan thÖnh t?ng m?nh nh?.
?n d?: CÖng xu?ng sÉu, lïng sÉn h?n cÖng dai d?ng ? kh? hçnh cÖng tinh vi.
BÖi H?c ??o ??c
Kinh Ph†p C£ 5:

""H?n thó di?t h?n thó,
??i nÖy khìng th? c¢.
T? bi di?t h?n thó,
LÖ ??nh lu?t ngÖn thu.""

Ph† ho?i Ph?t ph†p lÖ t?i n?ng nh?t vç c??p ?i c? h?i gi†c ng? c?a ch£ng sinh.

5. C†ch Tho†t Nghi?p
S†m h?i: ThÖnh tÉm ?n n?n tr??c Tam B?o.

Tu tÉm t? bi: Qu†n ""t? tÉm"" (metta) ?? h¢a gi?i h?n thó.

B?o v? Ch†nh ph†p: ?n t?ng kinh s†ch, h? tr? T?ng Ni.

T°ch Ph?t gi†o: Vua L?u Ly t?ng gi?t h? Th°ch-ca, sau b? l?a t? thiàu (nghi?p sÉn h?n d?n ??n ??a ng?c n¢ng).",6,15,18,11,10,6,5
8,"??a Ng?c T?m Th?i
",Kh? B†o Tràn NhÉn Gian,Realm_02.jpg,"??c ?i?m Kh†c Bi?t
V? tr°: Khìng n?m d??i lïng ??t nh? B†t N¢ng/B†t L?nh, mÖ t?n t?i ngay tràn tr†i ??t ? nh?ng n?i kh?c nghi?t nh?:
- Sa m?c thiàu ??t
- R?ng sÉu ??y th£ d?
- N£i b?ng gi†
- Sìng ??c ??y qu? ?¢i
Nguyàn nhÉn: Do nghi?p riàng c?a c† nhÉn/nh¢m (khìng ph?i nghi?p chung nh? ??a ng?c l?n).

??i T??ng ??a L?c
- K? ph† ho?i mìi tr??ng: ? nhi?m sìng, ch?t r?ng b?a b?i.
- Ng??i s?ng tÖn †c: Giam c?m, tra t?n ng??i/??ng v?t.
- K? gÉy chia r? c?ng ??ng: Ph†t ngìn thó h?n d?n ??n xung ??t.

Hçnh Ph?t ??c Tr?ng

- B? qu? ?¢i (preta) rçnh r?p
- ?¢i kh†t cóng c?c nh?ng th?c ?n bi?n thÖnh m†u/l?a
- Cì ??c v?nh vi?n khìng g?p ???c ai
Kh†c v?i ??a ng?c v?nh vi?n, n?i ?Éy c¢ th? h?t nghi?p sau 1 th?i gian (nàn g?i lÖ ""Hell for a Day"")
BÖi H?c NhÉn Qu?
Kinh T?ng Chi: ""Ng??i ph† ho?i s? hïa h?p s? n?m qu? b†o ? n?i khìng ai c?u gi£p.""

C†ch h¢a gi?i:

Ph¢ng sinh ?? chu?c l?i nghi?p s†t

Tr?ng cÉy ??n bó mìi tr??ng

T?ng Kinh ??a T?ng ?? gi?i oan k?t",5,27,19,14,11,7,6
9,"Diàm V??ng
",V? Ph†n Quan Nghi?p L?c,Realm_01.jpg," Ngu?n G?c & Hçnh T??ng
Diàm V??ng (Yama) lÖ v? th?n cai qu?n c?i ch?t trong c? ?n ?? gi†o l?n Ph?t gi†o, v?i nh?ng ??c ?i?m:
M?t trÉu (t??ng tr?ng cho s?c m?nh vÖ s? khìng khoan nh??ng).
C??i trÉu ?en, tay ph?i c?m chóy s? ng??i, tay tr†i c?m dÉy thïng l?ng.
ToÖn thÉn r?c l?a nh? ng?n l?a thiàu h?y th? gi?i cu?i ki?p.
V??ng Qu?c C?a Diàm V??ng
V? tr°: D??i lïng ??t, n?i m?t tr?i khìng chi?u t?i, bao quanh b?i:
MÉy ?en pha m†u
ThÖnh s?t khìng c?a
H? m†u s?n sinh nh?ng linh h?n hung d?.
Cung ?i?n: M?t tïa †n nghi?p l?c, n?i m?i linh h?n ph?i ??i di?n v?i t?m g??ng nghi?p (karma mirror) ph?n chi?u m?i hÖnh ??ng ??i tr??c.

C? Ch? Ph†n XÇt
Qu? ??u kh? (monkey-headed demon) c?m cÉn nghi?p:
Viàn ?† tr?ng: Cìng ??c.
Viàn ?† ?en: T?i l?i.
Diàm V??ng khìng tr?ng ph?t tóy ti?n ? m?i hçnh ph?t ??u do nghi?p l?c t? chiàu c?m.
Qu? s? d??i tr??ng: LÖ ?o ?nh t? nghi?p †c c?a ch°nh n?n nhÉn, khìng ph?i ch£ng sinh th?c s? (nàn khìng b? ?nh h??ng b?i l?a ??a ng?c).
4. ? Ngh?a Tri?t H?c
Diàm V??ng kh†ch quan: ??i di?n cho lu?t nhÉn qu? kh†ch quan, khìng thiàn v?.
Diàm V??ng ch? quan: LÖ tÉm th?c b? nhi?m ì b?i tham-sÉn-si c?a ch°nh ch£ng sinh.
Kinh TÉm ??a Qu†n: ""TÉm lÖ Diàm V??ng, tÉm lÖ ??a ng?c"".
 BÖi H?c Tu T?p
??i di?n nghi?p l?c:

Kinh ??a T?ng: ""G?p Diàm V??ng, thÖnh tÉm ni?m Ph?t v?n c¢ th? siàu tho†t.""

Ph??ng ph†p h¢a gi?i:

Trç t?ng ch£ L?ng Nghiàm ?? ph† tr? ?o ?nh nghi?p ch??ng.

Tu ph†p ""Chuy?n Diàm V??ng thÖnh Ph?t"" trong M?t tìng (qu†n Diàm V??ng lÖ h¢a thÉn c?a ??c Ph?t).

7. Hçnh ?nh Ngh? Thu?t
Trong tranh TÉy T?ng, Diàm V??ng th??ng ???c v?:

MÖu xanh ?en, chÉn ??p x†c ch?t (t??ng tr?ng chi?n th?ng t? th?n).

Vïng hÖo quang l?a tr° tu? bao quanh (? ngh?a: tr° tu? th?y r? nghi?p b†o).

Fun fact: Trong M?t tìng, Diàm V??ng c?ng lÖ H? ph†p khi hÖnh gi? bi?t c†ch chuy?n h¢a.",4,42,34,34,34,34,34
10,"C?i Ng? Qu?
","N?i Kh? C?a Lïng Tham Vì ??
",Realm_02.jpg,"??c ?i?m Hçnh D?ng & Mìi Tr??ng S?ng
Ng? qu? (pretas) lÖ ch£ng sinh b? nghi?p tham lam chi ph?i, v?i nh?ng ??c ?i?m kinh d?:
Mi?ng nh? nh? l? kim, c? h?ng h?p ? khìng th? nu?t th?c ?n.
B?ng phçnh to nh? n£i ? luìn ?¢i kh†t cóng c?c.
Th?c ?n bi?n thÖnh l?a/than/m†u khi ch?m vÖo mi?ng.
N??c sìng h¢a thÖnh m†u m? ? cÖng u?ng cÖng kh†t.
Nguyàn NhÉn ??a L?c
B?n x?n, keo ki?t: T? ch?i b? th° dó c¢ d? th?a.
Tr?m c?p tÖi s?n Tam B?o (chóa chi?n, ?? c£ng d??ng).
?n u?ng phung ph° trong khi ng??i kh†c ?¢i kh?.
H?y ho?i móa mÖng vç tham lam (v° d?: ??t r?ng ?? ??c quy?n ??t).

PhÉn Lo?i Ng? Qu?
Lo?i ??c ?i?m
Ngo?i Ng? Qu? Lang thang tçm ?n, b? ?u?i ?†nh khi th?y ""b?a ti?c ?o"".
N?i Ng? Qu? S?ng trong nhÖ v? sinh, ?n ch?t th?i c?a ng??i.
Qu? H£t Tinh Kh° H£t n?ng l??ng ng??i s?ng qua gi?c ng? (dÉn gian g?i lÖ ""qu? ?¢i vì hçnh"").
C†ch Gi£p Ng? Qu? Siàu Tho†t
Theo Ph?t gi†o, ng? qu? ch? nh?n ???c th?c ?n qua:
C£ng th° th?c (ph†p h?i Vu Lan, Mìng S?n).
Ni?m th?n ch£ Bi?n Th?c: ""Namo ratna tray?ya...""
B? th° ph??c ??c ? h?i h??ng cìng ??c cho h?.
6. BÖi H?c ??o ??c
Kinh T? Th?p Nh? Ch??ng:
""Ng??i tham lam nh? k? c?m ?u?c ?i ng??c gi¢, ?t s? t? thiàu mçnh.""
Chuy?n h¢a tÉm tham:
T?p b? th° dó °t (v° d?: cho chim ?n).
?n chay ?? gi?m nghi?p s†t sinh.",3,19,13,14,11,8,4
